model_name,trial_number,split_index,split_id,validation_rows,validation_quote_start,validation_quote_end,selected_metric_name,selected_metric_value,running_mean_selected_metric,legacy_pooled_observed_wrmse,split_runtime_seconds,trial_status,warning_reason,elasticnet_tol,elasticnet_max_iter,elasticnet_convergence_warning_message,lightgbm_n_factors,lightgbm_inner_fit_count,neural_best_epoch,neural_prediction_mean,neural_target_mean,neural_prediction_target_ratio,neural_prediction_below_1e_6_share,neural_calendar_penalty,neural_convexity_penalty,neural_roughness_penalty
neural_surface,10,2,split_0002,126,2006-04-04,2006-10-02,observed_mse_total_variance,0.0010221745837512947,0.000940867849756514,0.032260366410602835,0.23949466599879088,completed_split,,,,,,,2,0.00018419602398296917,0.014519007351217089,0.012686543888796125,0.7032137958063884,0.00006197267066454515,0.006866239942610264,5.164151843928266e-6
neural_surface,11,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,,,,0.031641749999835156,pruned,optuna_pruner,,,,,,,,,,,,,
neural_surface,12,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,,,,0.042758458002936095,pruned,optuna_pruner,,,,,,,,,,,,,
neural_surface,13,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,,,,0.03644266700575827,pruned,optuna_pruner,,,,,,,,,,,,,
neural_surface,14,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,0.0008652360618337891,0.0008652360618337891,0.02982828345397943,0.2579665000012028,completed_split,,,,,,,3,0.0005490852979256489,0.013268317334635798,0.041383190051711316,0.8092298647854204,0.00027237887843512,0.04038992524147034,0.00010613836639095098
neural_surface,14,1,split_0001,126,2006-03-06,2006-08-31,observed_mse_total_variance,0.0009430786041801864,0.0009041573330069877,0.03110791068217483,0.2845266250005807,completed_split,,,,,,,2,0.0020823400291685645,0.013902221911865097,0.14978469214272538,0.5236135606505977,0.001216965145431459,0.24199926853179932,0.00041694240644574165
neural_surface,14,2,split_0002,126,2006-04-04,2006-10-02,observed_mse_total_variance,0.0010148698952125383,0.0009410615204088379,0.03214312913789162,0.2866119999962393,completed_split,,,,,,,2,0.0022202404430172384,0.014519007351217089,0.15291957565068123,0.5052910052910053,0.0011999137932434678,0.17104600369930267,0.0003912043175660074
neural_surface,15,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,,,,0.036628457994083874,pruned,optuna_pruner,,,,,,,,,,,,,
neural_surface,16,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,,,,0.047512500001175795,pruned,optuna_pruner,,,,,,,,,,,,,
neural_surface,17,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,,,,0.03169945899571758,pruned,optuna_pruner,,,,,,,,,,,,,
neural_surface,18,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,0.0008681000394261745,0.0008681000394261745,0.029876692895531604,0.3320339160054573,pruned,optuna_pruner,,,,,,1,7.980935555580522e-6,0.013268317334635798,0.0006015032165945397,0.8931020968058005,4.4461658035288565e-6,0.00044412477291189134,5.624562149364465e-8
neural_surface,19,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,,,,0.04834533300163457,pruned,optuna_pruner,,,,,,,,,,,,,
neural_surface,20,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,,,,0.033400083004380576,pruned,optuna_pruner,,,,,,,,,,,,,
neural_surface,21,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,0.0008649475930840867,0.0008649475930840867,0.029822042218578593,0.2120403750013793,completed_split,,,,,,,2,0.0002411036740784816,0.013268317334635798,0.018171382851169926,0.7084068195179306,0.00008069987961789593,0.008058834820985794,8.423669896728825e-6
neural_surface,21,1,split_0001,126,2006-03-06,2006-08-31,observed_mse_total_variance,0.000938152165008753,0.0009015498790464198,0.03102422839962655,0.23372841600212269,completed_split,,,,,,,2,0.000748564619597329,0.013902221911865097,0.05384496265006771,0.6492259455222418,0.00021558653679676354,0.03541884943842888,0.00003079309317399748
neural_surface,21,2,split_0002,126,2006-04-04,2006-10-02,observed_mse_total_variance,0.0010209639144274836,0.0009413545575067744,0.03224163061366047,0.23927566599741112,completed_split,,,,,,,2,0.00029538342566849473,0.014519007351217089,0.02034460197747152,0.6389378796786204,0.00010817308793775737,0.01085476204752922,0.000014080663277127314
neural_surface,22,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,0.0008081566857959967,0.0008081566857959967,0.028683994010346027,0.24648866600182373,completed_split,,,,,,,1,0.01593379750627328,0.013268317334635798,1.2008905955753315,0.17969821673525377,0.004669529385864735,0.46570131182670593,0.0011302285129204392
neural_surface,22,1,split_0001,126,2006-03-06,2006-08-31,observed_mse_total_variance,0.0009479276050946687,0.0008780421454453327,0.031187294933967068,0.2659196669992525,completed_split,,,,,,,2,0.0003955031395182923,0.013902221911865097,0.028448915721935294,0.7048794826572604,0.0001257988769793883,0.00655214861035347,6.702040536765708e-6
neural_surface,22,2,split_0002,126,2006-04-04,2006-10-02,observed_mse_total_variance,0.0009895460128063074,0.0009152101012323242,0.031673104695571185,0.272782374995586,completed_split,,,,,,,1,0.015590654242608746,0.014519007351217089,1.073809928286993,0.13511659807956103,0.005029052961617708,0.4971504807472229,0.0012667318806052208
neural_surface,23,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,,,,0.06309050000709249,pruned,optuna_pruner,,,,,,,,,,,,,
neural_surface,24,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,0.0008656204332974237,0.0008656204332974237,0.02983243480137016,0.240651792002609,pruned,optuna_pruner,,,,,,2,0.00032713526763776307,0.013268317334635798,0.024655369583587262,0.6725455614344503,0.00014234734408091754,0.005604313686490059,0.000010633543752192054
neural_surface,25,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,0.00085005090869085,0.00085005090869085,0.02952357762612984,0.32584295899869176,completed_split,,,,,,,2,0.004451276392788697,0.013268317334635798,0.33548160482784234,0.43974132863021753,0.0015409403713420033,0.14321139454841614,0.0003437088744249195
neural_surface,25,1,split_0001,126,2006-03-06,2006-08-31,observed_mse_total_variance,0.0009313603876910303,0.0008907056481909401,0.030904201213049494,0.36282079100055853,completed_split,,,,,,,2,0.002861268411442299,0.013902221911865097,0.20581374902383764,0.37938467568097195,0.001139298197813332,0.0886288583278656,0.00024040130665525794
neural_surface,25,2,split_0002,126,2006-04-04,2006-10-02,observed_mse_total_variance,0.0009898967137360454,0.0009237693367059752,0.031729216245535,0.3715101669949945,completed_split,,,,,,,2,0.004098003244849192,0.014519007351217089,0.28225092430342136,0.3276504017244758,0.001468560192734003,0.13568750023841858,0.0003422563895583153
neural_surface,26,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,0.0008645422321954507,0.0008645422321954507,0.029810199861217697,0.26761312499729684,completed_split,,,,,,,1,0.00034224132889372494,0.013268317334635798,0.025793875761497914,0.7287869880462473,0.0001463932712795213,0.02835121564567089,0.000018280361473443918
neural_surface,26,1,split_0001,126,2006-03-06,2006-08-31,observed_mse_total_variance,0.0009447445725460776,0.0009046434023707642,0.031136747694771736,0.2853633330014418,completed_split,,,,,,,1,0.0006807358928570019,0.013902221911865097,0.0489659780409645,0.6345287086027827,0.0002609961084090173,0.04084918275475502,0.00004739552241517231
neural_surface,26,2,split_0002,126,2006-04-04,2006-10-02,observed_mse_total_variance,0.001021412595861354,0.0009435664668676274,0.03224952681405826,0.29242766599782044,completed_split,,,,,,,1,0.00034929815133777126,0.014519007351217089,0.024057991217181288,0.7264354301391338,0.00015533006808254868,0.021780095994472504,0.000026278372388333082
neural_surface,27,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,,,,0.05453266700351378,pruned,optuna_pruner,,,,,,,,,,,,,
neural_surface,28,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,0.0008638266130864788,0.0008638266130864788,0.029803002804922478,0.26213095799903385,completed_split,,,,,,,2,0.0007886084601892614,0.013268317334635798,0.05943545366756243,0.672055653537135,0.00035046946140937507,0.05715593695640564,0.00006336967635434121
neural_surface,28,1,split_0001,126,2006-03-06,2006-08-31,observed_mse_total_variance,0.0009496150406647758,0.0009067208268756273,0.031217805285250675,0.2755774580000434,completed_split,,,,,,,2,0.0004924973050203598,0.013902221911865097,0.03542579798701309,0.6884185773074663,0.0002297234022989869,0.03730255737900734,0.00003282074612798169
neural_surface,28,2,split_0002,126,2006-04-04,2006-10-02,observed_mse_total_variance,0.001022355187864358,0.0009452656138718708,0.03226193121451373,0.2881335000056424,completed_split,,,,,,,2,0.0005009681998607902,0.014519007351217089,0.03450430099953048,0.6825396825396826,0.00022473694116342813,0.03817674517631531,0.000027042960937251337
neural_surface,29,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,,,,0.10085595899727196,pruned,optuna_pruner,,,,,,,,,,,,,
